home_win,home_team_tricode,away_team_tricode,home_team_score,away_team_score,arena,gameTimeET,duration,attendance,sellout
,BOS,ATL,125,117,TD Garden,2024-02-07T19:30:00Z,1:58,19156,1
,OKC,LAC,134,115,Paycom Center,2023-12-21T20:00:00Z,2:08,18203,1
,POR,MIL,119,116,Moda Center,2024-01-31T22:00:00Z,2:24,19335,1
,PHX,NOP,105,113,Footprint Center,2024-04-07T18:00:00Z,2:12,17071,1
,NOP,PHX,111,124,Smoothie King Center,2024-04-01T20:00:00Z,2:14,17753,1
,MIN,SAC,111,124,Target Center,2023-11-24T20:00:00Z,2:11,18024,1
,SAC,MIN,98,110,Golden 1 Center,2023-12-23T22:00:00Z,2:05,17983,1
,POR,ATL,106,102,Moda Center,2024-03-13T22:00:00Z,2:11,18064,0
,CHI,CHA,111,100,United Center,2023-12-06T20:00:00Z,2:16,17689,0
,NYK,BOS,102,116,Madison Square Garden,2024-02-24T20:30:00Z,2:07,19812,1
,DET,POR,101,110,Little Caesars Arena,2023-11-01T19:00:00Z,2:09,16912,0
,MIL,GSW,129,118,Fiserv Forum,2024-01-13T20:00:00Z,2:09,18009,1
,POR,MIN,91,128,Moda Center,2024-02-15T22:00:00Z,2:11,18606,0
,SAS,DEN,121,120,Frost Bank Center,2024-04-12T20:00:00Z,2:08,18665,1
,MIA,IND,129,144,Kaseya Center,2023-12-02T20:00:00Z,2:17,19650,1
,DAL,MIA,114,108,American Airlines Center,2024-03-07T19:30:00Z,2:23,20221,1
,UTA,DAL,127,90,Delta Center,2024-01-01T21:00:00Z,2:05,18206,1
,POR,MEM,115,113,Moda Center,2023-11-03T22:00:00Z,2:41,18592,0
,DET,SAC,110,131,Little Caesars Arena,2024-01-09T19:00:00Z,2:12,13992,0
,CLE,GSW,115,104,Rocket Mortgage FieldHouse,2023-11-05T18:00:00Z,2:17,19432,1
,OKC,HOU,112,95,Paycom Center,2024-02-27T22:00:00Z,2:17,17164,0
,LAC,DEN,102,100,Crypto.com Arena,2024-04-04T22:00:00Z,2:33,19370,1
,OKC,MEM,116,97,Paycom Center,2023-12-18T20:00:00Z,2:07,16409,0
,WAS,PHX,112,140,Capital One Arena,2024-02-04T15:30:00Z,2:10,16984,0
,CLE,DEN,121,109,Rocket Mortgage FieldHouse,2023-11-19T18:00:00Z,2:05,19432,1
,NOP,OKC,83,107,Smoothie King Center,2024-01-26T20:00:00Z,2:01,18624,1
,ATL,POR,120,106,State Farm Arena,2024-03-27T19:30:00Z,2:07,16059,0
,DET,MIN,117,124,Little Caesars Arena,2024-01-17T19:00:00Z,2:07,16022,0
,MIN,MIA,106,90,Target Center,2023-10-28T20:00:00Z,2:07,18024,1
,DEN,CHI,123,101,Ball Arena,2023-11-04T21:00:00Z,2:09,19610,1
,LAL,ATL,136,105,Crypto.com Arena,2024-03-18T22:30:00Z,1:56,18997,1
,BOS,DEN,100,102,TD Garden,2024-01-19T19:30:00Z,2:13,19156,1
,ORL,CHI,114,108,Kia Center,2024-02-10T19:00:00Z,2:22,19459,1
,OKC,UTA,134,120,Paycom Center,2023-12-11T20:00:00Z,2:03,16631,0
,LAL,MIN,117,127,Crypto.com Arena,2024-04-07T22:00:00Z,2:05,18997,1
,HOU,CHI,127,117,Toyota Center,2024-03-21T20:00:00Z,2:19,17016,0
,OKC,POR,111,109,Paycom Center,2024-01-23T20:00:00Z,2:11,15874,0
,NYK,PHX,113,116,Madison Square Garden,2023-11-26T18:00:00Z,2:25,19812,1
,WAS,NYK,105,121,Capital One Arena,2024-01-06T19:00:00Z,2:11,20333,1
,CHI,DET,119,108,United Center,2023-11-12T19:00:00Z,2:12,19088,0
,ORL,IND,97,111,Kia Center,2024-03-10T18:00:00Z,2:19,19481,1
,UTA,WAS,127,115,Delta Center,2024-03-04T21:00:00Z,2:07,18206,1
,LAL,GSW,120,134,Crypto.com Arena,2024-04-09T22:00:00Z,2:15,18997,1
,HOU,MEM,117,104,Toyota Center,2023-12-13T20:00:00Z,2:19,16813,0
,TOR,HOU,107,104,Scotiabank Arena,2024-02-09T19:30:00Z,2:19,19800,1
,CLE,TOR,105,102,Rocket Mortgage FieldHouse,2023-11-26T19:30:00Z,2:16,19432,1
,ORL,MIA,105,87,Kia Center,2024-01-21T18:00:00Z,2:17,18102,0
,PHX,ATL,128,115,Footprint Center,2024-03-21T22:30:00Z,2:21,17071,1
,MIL,BOS,135,102,Fiserv Forum,2024-01-11T19:30:00Z,2:12,17781,1
,BKN,WAS,102,94,Barclays Center,2023-11-12T15:00:00Z,2:17,17732,1
,CLE,WAS,114,90,Rocket Mortgage FieldHouse,2024-01-05T19:30:00Z,2:05,19432,1
,WAS,ORL,109,119,Capital One Arena,2024-03-06T19:00:00Z,2:14,16018,0
,PHX,MIN,133,115,Footprint Center,2023-11-15T21:00:00Z,2:07,17071,1
,CHA,LAL,118,124,Spectrum Center,2024-02-05T19:00:00Z,2:02,19375,1
,LAC,NYK,144,122,Crypto.com Arena,2023-12-16T22:30:00Z,2:16,19370,1
,CHA,POR,86,89,Spectrum Center,2024-04-03T19:00:00Z,2:06,14209,0
,SAC,DAL,96,132,Golden 1 Center,2024-03-26T22:00:00Z,2:11,17832,1
,POR,CHI,96,104,Moda Center,2024-01-28T21:00:00Z,2:12,17899,0
,SAS,MEM,108,120,Frost Bank Center,2023-11-18T20:00:00Z,2:18,18354,1
,CHI,POR,110,107,United Center,2024-03-18T20:00:00Z,2:19,20293,0
,UTA,LAC,120,118,Delta Center,2023-10-27T21:30:00Z,2:16,18206,1
,POR,IND,118,115,Moda Center,2024-01-19T22:00:00Z,2:27,18595,0
,PHI,CHA,109,98,Wells Fargo Center,2024-03-16T19:00:00Z,2:15,19957,1
,POR,GSW,114,118,Moda Center,2023-12-17T21:00:00Z,2:15,18547,0
,NOP,TOR,138,100,Smoothie King Center,2024-02-05T20:00:00Z,1:60,17429,1
,NOP,ORL,108,117,Smoothie King Center,2024-04-03T20:00:00Z,2:17,16427,0
,LAC,SAC,107,123,Crypto.com Arena,2024-02-25T21:30:00Z,2:14,19370,1
,TOR,MIA,121,97,Scotiabank Arena,2024-01-17T19:30:00Z,2:01,19631,0
,DAL,CHI,114,105,American Airlines Center,2023-11-01T20:30:00Z,2:07,20103,1
,ATL,SAC,110,117,State Farm Arena,2023-12-29T19:30:00Z,2:09,18305,1
,DEN,LAL,119,107,Ball Arena,2023-10-24T19:30:00Z,2:17,19842,1
,MIA,CLE,99,111,Kaseya Center,2023-12-08T20:00:00Z,2:12,19600,1
,DET,MIA,95,108,Little Caesars Arena,2024-03-15T19:00:00Z,2:01,19894,0
,ORL,MIL,112,97,Amway Center,2023-11-11T18:00:00Z,2:25,19354,1
,PHX,MIA,113,97,Footprint Center,2024-01-05T21:00:00Z,2:07,17071,1
,CHI,HOU,124,119,United Center,2024-01-10T20:00:00Z,2:35,21149,1
,PHX,HOU,109,118,Footprint Center,2024-03-02T21:00:00Z,2:33,17071,1
,CHI,DAL,92,127,United Center,2024-03-11T20:00:00Z,1:58,21363,1
,POR,LAL,95,107,Moda Center,2023-11-17T22:00:00Z,2:09,18570,0
,IND,MIL,142,130,Gainbridge Fieldhouse,2024-01-03T19:00:00Z,2:35,17274,1
,LAC,SAC,119,99,Crypto.com Arena,2023-12-12T22:30:00Z,2:11,17060,0
,MIA,BOS,106,110,Kaseya Center,2024-02-11T14:00:00Z,2:22,20049,1
,MIL,BOS,104,91,Fiserv Forum,2024-04-09T19:30:00Z,1:58,17493,1
,BKN,ATL,114,102,Barclays Center,2024-03-02T15:00:00Z,2:18,18075,1
,MIA,ORL,99,96,Kaseya Center,2024-01-12T20:00:00Z,2:26,19650,1
,MIL,DET,120,118,Fiserv Forum,2023-11-08T20:00:00Z,2:21,17341,1
,MEM,TOR,111,116,FedExForum,2024-01-03T20:00:00Z,2:14,16385,0
,BKN,ORL,124,104,Barclays Center,2023-11-14T19:30:00Z,2:07,17361,0
,NYK,ATL,100,116,Madison Square Garden,2024-03-05T19:30:00Z,2:07,19812,1
,POR,TOR,128,118,Moda Center,2024-03-09T22:00:00Z,2:24,18117,0
,PHI,PHX,112,100,Wells Fargo Center,2023-11-04T13:00:00Z,2:17,19796,1
,BKN,MIA,95,96,Barclays Center,2024-01-15T19:30:00Z,2:28,17893,1
,PHI,POR,126,98,Wells Fargo Center,2023-10-29T19:30:00Z,2:12,19768,1
,SAC,MIA,110,121,Golden 1 Center,2024-02-26T22:00:00Z,2:08,17832,1
,UTA,MIN,100,119,Delta Center,2024-03-16T21:30:00Z,2:08,18206,1
,CHA,DET,99,111,Spectrum Center,2023-10-27T19:00:00Z,2:25,15855,0
,POR,SAS,105,118,Moda Center,2023-12-28T22:00:00Z,2:16,19335,1
,MIA,BOS,110,143,Kaseya Center,2024-01-25T19:30:00Z,2:02,20074,1
,TOR,PHX,112,105,Scotiabank Arena,2023-11-29T19:30:00Z,2:12,19800,1
,ATL,CHA,132,91,State Farm Arena,2024-03-23T19:30:00Z,1:59,17900,1
,DEN,MIN,116,107,Ball Arena,2024-04-10T22:00:00Z,2:21,19845,1
,POR,MIN,109,121,Moda Center,2024-02-13T22:00:00Z,2:12,17906,0
,LAC,GSW,121,113,Crypto.com Arena,2023-12-14T22:30:00Z,2:19,19370,1
,BKN,MIL,125,129,Barclays Center,2023-11-06T19:30:00Z,2:20,17935,1
,DET,SAS,108,130,Little Caesars Arena,2024-01-10T19:00:00Z,2:06,17833,0
,ATL,MIL,113,122,State Farm Arena,2024-03-30T19:30:00Z,2:26,17700,1
,POR,UTA,121,105,Moda Center,2023-11-22T22:00:00Z,2:08,17819,0
,DEN,MIL,113,107,Ball Arena,2024-01-29T21:00:00Z,2:20,19801,1
,DAL,LAC,111,120,American Airlines Center,2023-12-20T20:30:00Z,2:19,20310,1
,DET,LAC,125,136,Little Caesars Arena,2024-02-02T19:00:00Z,2:06,19122,0
,NYK,MEM,123,113,Madison Square Garden,2024-02-06T19:30:00Z,2:06,19013,0
,DEN,SAS,110,105,Ball Arena,2024-04-02T21:00:00Z,2:11,19741,1
,IND,MIA,117,115,Gainbridge Fieldhouse,2024-04-07T17:00:00Z,2:28,17274,1
,MIL,PHI,114,105,Fiserv Forum,2024-03-14T20:00:00Z,2:15,17635,1
,NYK,UTA,118,103,Madison Square Garden,2024-01-30T19:30:00Z,2:04,19133,0
,MIN,NYK,117,100,Target Center,2023-11-20T20:00:00Z,2:19,18024,1
,ATL,BOS,123,122,State Farm Arena,2024-03-28T19:30:00Z,2:24,17743,1
,PHX,MIN,97,87,Footprint Center,2024-04-05T22:00:00Z,2:08,17071,1
,ORL,SAS,127,111,Kia Center,2024-02-08T19:00:00Z,2:15,19074,1
,CLE,UTA,124,116,Rocket Mortgage FieldHouse,2023-12-20T19:00:00Z,2:08,19432,1
,NOP,GSW,102,130,Smoothie King Center,2023-10-30T20:00:00Z,2:08,17286,1
,WAS,DET,117,129,Capital One Arena,2024-01-15T15:00:00Z,2:07,15156,0
,CHI,WAS,105,107,United Center,2024-03-25T20:00:00Z,2:19,21726,1
,TOR,NYK,106,119,Scotiabank Arena,2023-12-01T19:30:00Z,2:13,19800,1
,GSW,ATL,134,112,Chase Center,2024-01-24T22:00:00Z,2:07,18064,1
,PHX,NYK,122,139,Footprint Center,2023-12-15T22:00:00Z,2:22,17071,1
,ATL,CHI,126,136,State Farm Arena,2024-02-12T19:30:00Z,2:14,16524,0
,MEM,DAL,113,120,FedExForum,2023-12-11T20:00:00Z,2:11,16379,0
,WAS,CHI,127,129,Capital One Arena,2024-04-12T19:00:00Z,2:20,20333,1
,DET,DAL,124,142,Little Caesars Arena,2024-03-09T19:00:00Z,2:18,20062,1
,PHI,TOR,114,99,Wells Fargo Center,2023-11-02T19:00:00Z,2:16,19773,1
,POR,BKN,105,103,Moda Center,2024-01-17T22:00:00Z,2:13,17021,0
,CHI,TOR,104,103,United Center,2023-10-27T20:00:00Z,2:45,19555,0
,SAS,BKN,122,115,Moody Center,2024-03-17T19:00:00Z,2:35,16057,1
,CHI,MEM,125,96,United Center,2024-01-20T20:00:00Z,2:06,21441,1
,BOS,OKC,135,100,TD Garden,2024-04-03T19:30:00Z,2:14,19156,1
,CLE,SAC,136,110,Rocket Mortgage FieldHouse,2024-02-05T19:00:00Z,2:08,19432,1
,BOS,ORL,114,97,TD Garden,2023-12-17T15:00:00Z,2:10,19156,1
,DAL,SAC,115,120,American Airlines Center,2024-01-27T21:00:00Z,2:23,20373,1
,GSW,OKC,109,128,Chase Center,2023-11-16T22:00:00Z,2:10,18064,1
,DEN,MEM,128,103,Ball Arena,2024-03-25T21:00:00Z,2:15,19536,1
,HOU,MIN,95,122,Toyota Center,2024-01-05T20:00:00Z,2:04,18055,1
,MIL,CHI,118,109,Fiserv Forum,2023-11-13T20:00:00Z,2:16,17865,1
,DEN,PHX,107,117,Ball Arena,2024-03-05T22:00:00Z,2:25,19589,1
,NYK,PHI,106,79,Madison Square Garden,2024-03-12T19:30:00Z,2:11,19812,1
,TOR,ATL,135,128,Scotiabank Arena,2023-12-13T19:30:00Z,2:19,19423,0
,BOS,WAS,133,129,TD Garden,2024-02-09T19:30:00Z,2:14,19156,1
,MIN,WAS,130,121,Target Center,2024-04-09T20:00:00Z,2:12,18024,1
,POR,LAC,117,125,Moda Center,2024-03-22T22:00:00Z,2:06,18660,0
,UTA,NOP,114,112,Delta Center,2023-11-27T21:00:00Z,2:18,18206,1
,DET,MIL,113,122,Little Caesars Arena,2024-01-22T19:00:00Z,2:19,17201,0
,DEN,GSW,108,105,Ball Arena,2023-11-08T22:00:00Z,2:21,19737,0
,IND,BOS,101,118,Gainbridge Fieldhouse,2024-01-06T19:00:00Z,2:11,17274,1
,DEN,NOP,125,113,Ball Arena,2024-01-12T22:00:00Z,2:16,19638,1
,CHA,ORL,89,101,Spectrum Center,2024-03-05T19:00:00Z,2:08,15928,0
,GSW,MIN,110,116,Chase Center,2023-11-12T20:30:00Z,2:25,18064,1
,CHA,DAL,104,130,Spectrum Center,2024-04-09T19:00:00Z,2:01,17425,0
,NYK,IND,111,125,Madison Square Garden,2024-02-10T19:30:00Z,2:06,19812,1
,BOS,CLE,120,113,TD Garden,2023-12-12T19:30:00Z,2:03,19156,1
,MIN,CHA,125,128,Target Center,2024-01-22T20:00:00Z,2:11,18024,1
,BKN,MIA,112,97,Barclays Center,2023-11-25T18:00:00Z,2:11,17817,1
,GSW,MEM,137,116,Chase Center,2024-03-20T22:00:00Z,2:12,18064,1
,DET,IND,103,122,Little Caesars Arena,2024-03-20T19:00:00Z,2:09,19897,0
,PHX,UTA,126,104,Footprint Center,2023-10-28T22:00:00Z,2:13,17071,1
,UTA,OKC,129,134,Delta Center,2024-01-18T21:00:00Z,2:24,18206,1
,DAL,DEN,107,105,American Airlines Center,2024-03-17T15:30:00Z,2:20,20377,1
,ATL,DET,130,124,State Farm Arena,2023-12-18T19:30:00Z,2:25,17664,1
,DAL,MIL,117,129,American Airlines Center,2024-02-03T20:30:00Z,2:18,20377,1
,HOU,GSW,110,133,Toyota Center,2024-04-04T20:00:00Z,2:13,18055,1
,MIN,DET,106,91,Target Center,2024-03-27T20:00:00Z,2:02,18024,1
,CHA,BOS,121,118,Spectrum Center,2023-11-20T19:00:00Z,2:20,19134,1
,CHA,UTA,122,134,Spectrum Center,2024-01-27T19:00:00Z,2:04,17633,0
,PHX,ORL,112,107,Footprint Center,2023-12-31T20:00:00Z,2:05,17071,1
,IND,MIN,111,113,Gainbridge Fieldhouse,2024-03-07T19:00:00Z,2:24,16580,0
,CHI,CLE,132,123,United Center,2024-02-28T20:00:00Z,2:44,21700,1
,DAL,MEM,103,120,American Airlines Center,2024-01-09T20:30:00Z,2:18,20116,1
,DET,GSW,109,120,Little Caesars Arena,2023-11-06T19:00:00Z,2:09,20062,1
,CLE,CHA,110,120,Rocket Mortgage FieldHouse,2024-04-14T13:00:00Z,1:48,19432,1
,DAL,PHX,123,113,American Airlines Center,2024-02-22T19:30:00Z,2:25,20377,1
,BOS,ORL,128,111,TD Garden,2023-12-15T19:30:00Z,2:07,19156,1
,PHI,MIA,104,109,Wells Fargo Center,2024-02-14T19:00:00Z,2:13,20015,1
,DET,CLE,101,110,Little Caesars Arena,2023-12-02T19:00:00Z,2:06,18924,0
,UTA,HOU,124,121,Delta Center,2024-04-11T21:00:00Z,2:18,18206,1
,SAC,LAL,120,107,Golden 1 Center,2024-03-13T22:00:00Z,2:13,18332,1
,CHA,TOR,119,116,Spectrum Center,2023-12-08T19:00:00Z,2:17,11526,0
,NYK,CHA,115,91,Madison Square Garden,2023-11-28T19:30:00Z,2:03,19111,0
,WAS,ORL,119,127,Capital One Arena,2023-12-26T19:00:00Z,2:23,16293,0
,CLE,NYK,91,109,Rocket Mortgage FieldHouse,2023-10-31T19:30:00Z,2:14,19432,1
,BOS,HOU,145,113,TD Garden,2024-01-13T19:00:00Z,2:07,19156,1
,GSW,CHA,97,84,Chase Center,2024-02-23T22:00:00Z,2:08,18064,1
,IND,ORL,110,117,Gainbridge Fieldhouse,2023-12-23T19:00:00Z,2:21,17274,1
,WAS,MIL,117,113,Capital One Arena,2024-04-02T19:00:00Z,2:13,16492,0
,BOS,LAL,105,114,TD Garden,2024-02-01T19:30:00Z,2:13,19156,1
,OKC,MIN,129,106,Paycom Center,2023-12-26T20:00:00Z,2:15,18203,1
,PHX,POR,120,107,Footprint Center,2023-11-21T21:00:00Z,2:14,17071,1
,SAC,POR,121,82,Golden 1 Center,2024-04-14T15:30:00Z,2:06,18037,1
,SAS,HOU,101,103,Frost Bank Center,2024-03-12T20:30:00Z,2:15,18751,1
,MEM,LAC,95,101,FedExForum,2024-02-23T20:00:00Z,2:12,17255,0
,POR,PHX,116,127,Moda Center,2024-01-14T21:00:00Z,2:14,18071,0
,ATL,MIN,127,113,State Farm Arena,2023-10-30T19:30:00Z,2:05,15504,0
,SAC,PHX,120,105,Golden 1 Center,2023-12-22T22:00:00Z,2:18,17794,1
,BKN,NYK,102,121,Barclays Center,2023-12-20T19:30:00Z,2:13,18071,1
,HOU,TOR,135,106,Toyota Center,2024-02-02T20:00:00Z,2:08,18055,1
,MIL,MIN,105,129,Fiserv Forum,2024-02-08T20:00:00Z,2:05,17577,1
,HOU,DAL,107,125,Toyota Center,2024-03-31T19:00:00Z,1:58,18055,1
,MEM,PHI,96,116,FedExForum,2024-04-06T20:00:00Z,2:15,17794,1
,LAL,MIL,123,122,Crypto.com Arena,2024-03-08T22:00:00Z,2:22,18997,1
,SAC,OKC,105,98,Golden 1 Center,2023-11-10T22:00:00Z,2:24,18097,1
,NOP,LAL,129,109,Smoothie King Center,2023-12-31T19:00:00Z,2:07,18434,1
,HOU,SAC,122,97,Toyota Center,2023-11-06T20:00:00Z,2:18,15130,0
,PHX,MEM,115,121,Footprint Center,2024-01-07T20:00:00Z,2:20,17071,1
,ORL,UTA,115,107,Kia Center,2024-02-29T19:00:00Z,2:15,17848,0
,BOS,BKN,136,86,TD Garden,2024-02-14T19:30:00Z,1:54,19156,1
,ORL,MIL,113,88,Kia Center,2024-04-14T13:00:00Z,2:09,18846,1
,PHI,WAS,146,101,Wells Fargo Center,2023-12-11T19:00:00Z,2:13,19762,1
,CLE,CHI,108,105,Rocket Mortgage FieldHouse,2024-02-14T19:30:00Z,2:20,19432,1
,NYK,CHI,120,119,Madison Square Garden,2024-04-14T13:00:00Z,2:35,19812,1
,ORL,CLE,104,94,Amway Center,2023-12-11T19:00:00Z,2:25,19032,1
,OKC,MIA,107,100,Paycom Center,2024-03-08T20:00:00Z,2:07,18203,1
,CHA,MIA,105,111,Spectrum Center,2023-11-14T19:00:00Z,2:14,15673,0
,OKC,BKN,124,108,Paycom Center,2023-12-31T19:00:00Z,2:19,18203,1
,CHI,UTA,130,113,United Center,2023-11-06T20:00:00Z,2:06,18031,0
,DEN,DET,131,114,Ball Arena,2024-01-07T20:00:00Z,2:16,19623,1
,BKN,ATL,124,97,Barclays Center,2024-02-29T19:30:00Z,2:05,17284,0
,GSW,WAS,129,118,Chase Center,2023-12-22T22:00:00Z,2:16,18064,1
,TOR,DEN,104,113,Scotiabank Arena,2023-12-20T19:30:00Z,1:57,19800,1
,MEM,GSW,101,121,FedExForum,2024-02-02T20:00:00Z,2:20,17794,1
,PHX,UTA,129,115,Footprint Center,2024-02-08T21:00:00Z,2:10,17071,1
,NYK,OKC,112,113,Madison Square Garden,2024-03-31T19:00:00Z,2:33,19812,1
,BKN,DET,113,103,Barclays Center,2024-04-06T19:00:00Z,2:08,17732,1
,NOP,MEM,115,116,Smoothie King Center,2023-12-26T20:00:00Z,2:52,18538,1
,PHI,CLE,119,122,Wells Fargo Center,2023-11-21T19:30:00Z,2:51,20565,1
,MIL,NYK,146,122,Fiserv Forum,2023-12-05T19:30:00Z,2:21,17448,1
,UTA,BOS,107,123,Delta Center,2024-03-12T21:00:00Z,2:00,18206,1
,HOU,PHX,114,110,Toyota Center,2024-02-23T20:00:00Z,2:32,18055,1
,PHI,HOU,124,115,Wells Fargo Center,2024-01-15T13:00:00Z,2:25,20822,1
,TOR,POR,91,99,Scotiabank Arena,2023-10-30T19:30:00Z,2:03,19266,0
,CHA,DEN,95,102,Spectrum Center,2023-12-23T19:00:00Z,2:09,19165,1
,TOR,LAL,111,128,Scotiabank Arena,2024-04-02T19:00:00Z,2:06,19800,1
,NYK,IND,109,105,Madison Square Garden,2024-02-01T19:30:00Z,2:17,19812,1
,BOS,PHX,127,112,TD Garden,2024-03-14T19:30:00Z,2:03,19156,1
,ORL,DET,123,91,Amway Center,2023-12-08T19:00:00Z,2:09,18655,0
,MIA,MIL,124,131,Kaseya Center,2023-11-28T19:30:00Z,2:30,19691,1
,DET,BKN,112,118,Little Caesars Arena,2023-12-26T19:00:00Z,2:27,19811,0
,PHX,SAS,114,115,Footprint Center,2023-10-31T22:00:00Z,2:28,17071,1
,ATL,WAS,99,127,State Farm Arena,2024-01-13T19:30:00Z,2:13,17108,1
